0	0	4.1
0	0.0526316	7.38498
0	0.105263	3.68669
0	0.157895	-23.2389
0	0.210526	73.5913
0	0.263158	-80.2073
0	0.315789	12.8567
0	0.368421	138.986
0	0.421053	-282.392
0	0.473684	275.12
0	0.526316	-59.3128
0	0.578947	-330.982
0	0.631579	617.399
0	0.684211	-616.6
0	0.736842	130.887
0	0.789474	542.012
0	0.842105	-1129.78
0	0.894737	1040.27
0	0.947368	-342.569
0	1	-870.887
0.0526316	0	-35.2535
0.0526316	0.0526316	-31.9686
0.0526316	0.105263	-35.6668
0.0526316	0.157895	-62.5925
0.0526316	0.210526	34.2378
0.0526316	0.263158	-119.561
0.0526316	0.315789	-26.4968
0.0526316	0.368421	99.6323
0.0526316	0.421053	-321.746
0.0526316	0.473684	235.767
0.0526316	0.526316	-98.6664
0.0526316	0.578947	-370.336
0.0526316	0.631579	578.045
0.0526316	0.684211	-655.953
0.0526316	0.736842	91.5334
0.0526316	0.789474	502.659
0.0526316	0.842105	-1169.14
0.0526316	0.894737	1000.91
0.0526316	0.947368	-381.923
0.0526316	1	-910.241
0.105263	0	-66.3381
0.105263	0.0526316	-63.0531
0.105263	0.105263	-66.7514
0.105263	0.157895	-93.677
0.105263	0.210526	3.15324
0.105263	0.263158	-150.645
0.105263	0.315789	-57.5814
0.105263	0.368421	68.5477
0.105263	0.421053	-352.83
0.105263	0.473684	204.682
0.105263	0.526316	-129.751
0.105263	0.578947	-401.42
0.105263	0.631579	546.961
0.105263	0.684211	-687.038
0.105263	0.736842	60.4488
0.105263	0.789474	471.574
0.105263	0.842105	-1200.22
0.105263	0.894737	969.829
0.105263	0.947368	-413.007
0.105263	1	-941.325
0.157895	0	28.1257
0.157895	0.0526316	31.4107
0.157895	0.105263	27.7124
0.157895	0.157895	0.786774
0.157895	0.210526	97.617
0.157895	0.263158	-56.1816
0.157895	0.315789	36.8824
0.157895	0.368421	163.011
0.157895	0.421053	-258.367
0.157895	0.473684	299.146
0.157895	0.526316	-35.2871
0.157895	0.578947	-306.956
0.157895	0.631579	641.425
0.157895	0.684211	-592.574
0.157895	0.736842	154.913
